annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card,matched_id,matched_sample_id,matched_sample_name,matched_quantity,matched_camera_type_1,matched_deleted,matched_date_of_creation,matched_url,notes
199,81457,nokia,benchtop,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
200,81457,nokia,lightbox,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
201,81457,nokia,no light,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
202,81457,ipad,benchtop,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
203,81457,ipad,lightbox,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
204,81457,ipad,no light,white,Hydroxyurea (oral),100 mix 2,0.6983250249,69.8,False,,,,,,,,,
205,81829,nokia,benchtop,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
206,81829,nokia,lightbox,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
207,81829,nokia,no light,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
208,81829,ipad,benchtop,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
209,81829,ipad,lightbox,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
210,81829,ipad,no light,white,Hydroxyurea (oral),100 mix 3,0.6983250249,69.8,False,,,,,,,,,
211,81828,nokia,benchtop,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
212,81828,nokia,lightbox,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
213,81828,nokia,no light,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
214,81828,ipad,benchtop,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
215,81828,ipad,lightbox,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
216,81828,ipad,no light,white,Hydroxyurea (oral),100 mix 4,0.6983250249,69.8,False,,,,,,,,,
217,81827,nokia,benchtop,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
218,81827,nokia,lightbox,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
219,81827,nokia,no light,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
220,81827,ipad,benchtop,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
221,81827,ipad,lightbox,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
222,81827,ipad,no light,black,Hydroxyurea (oral),100 mix 5,0.6983250249,69.8,False,,,,,,,,,
223,81826,nokia,benchtop,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
224,81826,nokia,lightbox,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
225,81826,nokia,no light,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
226,81826,ipad,benchtop,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
227,81826,ipad,lightbox,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
228,81826,ipad,no light,black,Hydroxyurea (oral),100 mix 6,0.6983250249,69.8,False,,,,,,,,,
229,81825,nokia,benchtop,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False,,,,,,,,,
230,81825,nokia,lightbox,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False,,,,,,,,,
231,81825,nokia,no light,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False,,,,,,,,,
232,81825,ipad,benchtop,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False,,,,,,,,,
233,81825,ipad,lightbox,black,Hydroxyurea (oral),100 mix 7,0.6983250249,69.8,False,,,,,,,,,
